Protein	TU	Function	Evidence that supports the existence of the regulatory interaction
FecI	fecABCDE[fecAp]	+	"[FP, HIPP, TIM, CV(FP/TIM)]"
RpoE	C0343-dbpA[dbpAp2]	+	[ICWHO]
RpoE	aaeB[aaeBp3]	+	[ICWHO]
RpoE	aaeB[aaeBp8]	+	[ICWHO]
RpoE	acpS[acpSp2]	+	[ICWHO]
RpoE	acpS[acpSp3]	+	[ICWHO]
RpoE	adeQ[yicOp1]	+	[ICWHO]
RpoE	adeQ[yicOp5]	+	[ICWHO]
RpoE	adeQ[yicOp11]	+	[ICWHO]
RpoE	ahpF[ahpFp]	+	"[AIPP, TIM]"
RpoE	alaE[alaEp1]	+	[ICWHO]
RpoE	alaWX[alaXp2]	+	[ICWHO]
RpoE	allE[ylbAp2]	+	[ICWHO]
RpoE	ampDE[ampDp5]	+	[ICWHO]
RpoE	ampG[ampGp5]	+	[ICWHO]
RpoE	apaH[apaHp4]	+	[ICWHO]
RpoE	apbE[apbEp1]	+	[ICWHO]
RpoE	aqpZ[aqpZp2]	+	[ICWHO]
RpoE	arpA[arpAp1]	+	[ICWHO]
RpoE	astE[astEp3]	+	[ICWHO]
RpoE	azoR[azoRp1]	+	[ICWHO]
RpoE	azoR[azoRp6]	+	[ICWHO]
RpoE	bacA[bacAp]	+	"[AIPP, TIM]"
RpoE	bamA[bamAp]	+	"[HIPP, TIM]"
RpoE	bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE[bamAp2]	+	"[AIPP, RS-EPT-CBR, TIM]"
RpoE	bamB-der[bamBp]	+	"[AIPP, TIM]"
RpoE	bamC[bamCp]	+	"[HIPP, TIM]"
RpoE	bamD[bamDp]	+	"[HIPP, TIM]"
RpoE	bamD[bamDp2]	+	"[AIPP, TIM]"
RpoE	bamE[bamEp]	+	"[AIPP, TIM]"
RpoE	bepA-yfgD[bepAp1]	+	"[AIPP, TIM]"
RpoE	bhsA[bhsAp]	+	[HTTIM]
RpoE	bisC[bisCp4]	+	[ICWHO]
RpoE	ccmH[ccmHp1]	+	[ICWHO]
RpoE	chbG[chbGp4]	+	[ICWHO]
RpoE	citT[citTp4]	+	[ICWHO]
RpoE	clpX-lon[clpXp]	+	"[AIPP, RS-EPT-CBR, TIM]"
RpoE	cobC[cobCp7]	+	[ICWHO]
RpoE	cpxA[cpxAp1]	+	[ICWHO]
RpoE	crcB[crcBp4]	+	[ICWHO]
RpoE	csgG[csgGp1]	+	[ICWHO]
RpoE	csiR[csiRp3]	+	[ICWHO]
RpoE	cspF[cspFp8]	+	[ICWHO]
RpoE	cspH[cspHp13]	+	[ICWHO]
RpoE	cspH[cspHp14]	+	[ICWHO]
RpoE	cspH[cspHp15]	+	[ICWHO]
RpoE	curA[yncBp4]	+	[ICWHO]
RpoE	cutC[cutCp]	+	"[HIPP, TIM]"
RpoE	cybB[cybBp5]	+	[ICWHO]
RpoE	cybB[cybBp7]	+	[ICWHO]
RpoE	cydC[cydCp5]	+	[ICWHO]
RpoE	cysZ[cysZp1]	+	[ICWHO]
RpoE	dacA[dacAp2]	+	[ICWHO]
RpoE	dcrB[dcrBp1]	+	[ICWHO]
RpoE	dcrB[dcrBp2]	+	[ICWHO]
RpoE	deaD[deaDp1]	+	[ICWHO]
