ENTRY	GENES	NAME
EC 1.1.1.1	[u'frmA', u'adhE', u'adhP', u'yiaY']	[u'Adh2', u'AdhP', u'AdhE', u'FrmA']
EC 1.1.1.100	[u'fabG']	[u'AccC']
EC 1.1.1.103	[u'tdh']	[u'Tdh']
EC 1.1.1.125	[u'kduD']	[u'KduD']
EC 1.1.1.130	[u'yiaK']	[u'DlgD']
EC 1.1.1.133	[u'rfbD']	[u'RmlD']
EC 1.1.1.140	[u'srlD']	[u'SrlD']
EC 1.1.1.157	[u'paaH']	[u'PaaH']
EC 1.1.1.159	[u'hdhA']	[u'HdhA']
EC 1.1.1.169	[u'panE']	[u'PanE']
EC 1.1.1.17	[u'mtlD']	[u'MtlD']
EC 1.1.1.193	[u'ribD']	[u'RibD']
EC 1.1.1.205	[u'guaB']	[u'ImdH']
EC 1.1.1.215	[u'ghrB']	[u'GhrB']
EC 1.1.1.22	[u'ugd']	[u'Udg']
EC 1.1.1.25	[u'aroE']	[u'AroE']
EC 1.1.1.251	[u'gatD']	[u'GatD']
EC 1.1.1.262	[u'pdxA']	[u'PdxA']
EC 1.1.1.264	[u'idnD']	[u'IdnD']
EC 1.1.1.267	[u'dxr']	[u'Dxr']
EC 1.1.1.271	[u'wcaG']	[u'Fcl']
EC 1.1.1.28	[u'ldhA', u'dld']	[u'LdhD', u'Dld']
EC 1.1.1.282	[u'ydiB']	[u'YdiB']
EC 1.1.1.284	[u'frmA']	[u'FrmA']
EC 1.1.1.290	[u'pdxB']	[u'PdxB']
EC 1.1.1.3	[u'thrA', u'metL']	[u'Ak1H', u'Ak2H']
EC 1.1.1.305	[u'arnA']	[u'ArnA']
EC 1.1.1.336	[u'wecC']	[u'WecC']
EC 1.1.1.346	[u'dkgB', u'dkgA']	[u'DkgB', u'DkgA']
EC 1.1.1.350	[u'allD']	[u'AllD']
EC 1.1.1.37	[u'mdh']	[u'Mdh']
EC 1.1.1.38	[u'maeA']	[u'Mao1']
EC 1.1.1.40	[u'maeB']	[u'Mao2']
EC 1.1.1.42	[u'icd']	[u'Idh']
EC 1.1.1.44	[u'gnd']	[u'6pgD']
EC 1.1.1.49	[u'zwf']	[u'G6pD']
EC 1.1.1.57	[u'uxuB']	[u'UxuB']
