Gene	TF
accB	AccB
acrR	AcrR
ada	Ada
adiY	AdiY
agaR	AgaR
aidB	AidB
alaS	AlaS
allR	AllR
allS	AllS
alpA	AlpA
rpiR	AlsR
appY	AppY
araC	AraC
arcA	ArcA
argP	ArgP
argR	ArgR
arsR	ArsR
ascG	AscG
asnC	AsnC
atoC	AtoC
baeR	BaeR
basR	BasR
betI	BetI
bglJ	BglJ
birA	BirA
bluR	BluR
bolA	BolA
crp	CRP
cadC	CadC
caiF	CaiF
cbl	Cbl
cdaR	CdaR
chbR	ChbR
comR	ComR
cpxR	CpxR
cra	Cra
creB	CreB
csgD	CsgD
csiR	CsiR
cspA	CspA
cueR	CueR
cusR	CusR
cynR	CynR
cysB	CysB
cytR	CytR
ttdR	Dan
dcuR	DcuR
deoR	DeoR
dhaR	DhaR
dicA	DicA
dinJ	DinJ
yafQ	DinJ-YafQ
dnaA	DnaA
dpiA	DpiA
dsdC	DsdC
ebgR	EbgR
envR	EnvR
envY	EnvY
evgA	EvgA
exuR	ExuR
fnr	FNR
fabR	FabR
fadR	FadR
feaR	FeaR
fhlA	FhlA
fis	Fis
flhC	FlhDC
flhD	FlhDC
fliZ	FliZ
fucR	FucR
fur	Fur
gadE	GadE
rcsB	GadE-RcsB
gadE	GadE-RcsB
gadW	GadW
gadX	GadX
galR	GalR
galS	GalS
gatR_2	GatR
gatR_1	GatR
gcvA	GcvA
glcC	GlcC
glpR	GlpR
glrR	GlrR
gntR	GntR
gutM	GutM
srlR	GutR
hns	H-NS
hupB	HU
hupA	HU
hcaR	HcaR
hdfR	HdfR
hipB	HipAB
hipA	HipAB
hipB	HipB
hyfR	HyfR
hypT	HypT
ihfB	IHF
ihfA	IHF
iclR	IclR
idnR	IdnR
ilvY	IlvY
iscR	IscR
kdgR	KdgR
kdpE	KdpE
lacI	LacI
leuO	LeuO
lexA	LexA
lldR	LldR
lrhA	LrhA
lrp	Lrp
lsrR	LsrR
lysR	LysR
malI	MalI
malT	MalT
marA	MarA
marR	MarR
ecpR	MatA
mazE	MazE
mazF	MazE-MazF
mcbR	McbR
melR	MelR
metJ	MetJ
metR	MetR
mhpR	MhpR
mlc	Mlc
mlrA	MlrA
mngR	MngR
mntR	MntR
modE	ModE
mprA	MprA
mqsR	MprA
mqsA	MqsA
mtlR	MtlR
murR	MurR
nac	Nac
nadR	NadR
nagC	NagC
nanR	NanR
narL	NarL
narP	NarP
nemR	NemR
nhaR	NhaR
nikR	NikR
norR	NorR
nrdR	NrdR
nsrR	NsrR
glnG	NtrC
ompR	OmpR
oxyR	OxyR
paaX	PaaX
pdhR	PdhR
pepA	PepA
pgrR	PgrR
phoB	PhoB
phoP	PhoP
prpR	PrpR
pspF	PspF
purR	PurR
putA	PutA
puuR	PuuR
qseB	QseB
rbsR	RbsR
rcdA	RcdA
rclR	RclR
rcnR	RcnR
rcsB	RcsAB
rcsA	RcsAB
gadE	RcsB
rcsA	RcsB
rcsB	RcsB
bglJ	RcsB-BglJ
relB	RelB
relE	RelB
relB	RelB-RelE
relE	RelB-RelE
rhaR	RhaR
rhaS	RhaS
rob	Rob
rstA	RstA
rtcR	RtcR
rutR	RutR
sdiA	SdiA
sgrR	SgrR
slyA	SlyA
soxR	SoxR
soxS	SoxS
stpA	StpA
tdcA	TdcA
tdcR	TdcR
torR	TorR
treR	TreR
trpR	TrpR
tyrR	TyrR
uhpA	UhpA
uidR	UidR
ulaR	UlaR
uxuR	UxuR
xapR	XapR
xylR	XylR
ydeO	YdeO
ydfH	YdfH
yefM	YefM
yefM	YefM-YoeB
yoeB	YefM-YoeB
yehT	YehT
yeiL	YeiL
ygiV	YgiV
yiaJ	YiaJ
ypdB	YpdB
yqhC	YqhC
yqjI	YqjI
zntR	ZntR
zraR	ZraR
zur	Zur
