Gene	sRNA
tpke11	Tpke11
sokC	SokC
sroA	SroA
sgrS	SgrS
tp2	Tp2
tff	Tff
C0067	C0067
eyeA	EyeA
sraA	SraA
ffs	Ffs
micM	MicM
ipeX	IpeX
sokE	SokE
sroC	SroC
rybB	RybB
sraB	SraB
C0293	C0293
C0299	C0299
rdlA	RdlA
rdlB	RdlB
rdlC	RdlC
rttR	RtT
	
mcaS	IsrA
fnrS	FnrS
C0343	C0343
micC	MicC
rydC	RydC
sokB	SokB
C0362	C0362
mgrR	MgrR
dicF	DicF
	YnfM3'
rydB	RydB
rprA	RprA
spy3'	Spy3'
sroD	SroD
ryeA	SraC
sdsR	RyeB
ryeF	RyeF
C0465	C0465
isrB	IsrB
	YecC3'
dsrA	DsrA
rseX	RseX
isrC	IsrC
sibA	SibA
sibB	SibB
cyaR	CyaR
	YejG5'
micF	MicF
tpke70	Tpke70
zipA5'	ZipA5'
sroE	SroE
C0614	C0614
IS128	IS128
IS129	IS129
ryfA	RyfA
glmY	GlmY
ryfB	ryfB
ohsC	OhsC
ryfD	RyfD
rpsP5'	RpsP5'
ssrA	TmRNA
micA	MicA
C0664	C0664
sokX	SokX
csrB	CsrB
gcvB	GcvB
omrA	OmrA
omrB	OmrB
ssrS	6S RNA
sibC	SibC
	YgfI5'
C0719	C0719
sroG	SroG
sibD	SibD
sibE	SibE
sraF	PsrN
rnpB	RnpB
psrO	PsrO
yrbL3'	YrbL3'
arcZ	ArcZ
	YhcC5'
	YhcF3'
rpsI3'	RpsI3'
crpT	CrpT
ryhB	RyhB
agrA	AgrA small RNA
agrB	AgrB small RNA
arrS	ArrS
gadY	GadY
rdlD	RdlD
istR-2	Istr-2
istR-1	Istr-1
glmZ	GlmZ
	YigE5'
spf	Spot42
csrC	CsrC
glnA3'	GlnA3'
	TypA5'
oxyS	OxyS
sroH	SroH
lysC5'	LysC5'
ryjA	RyjA
	YtfL5'
mgtA5'	MgtA5'
ryjB	RyjB
fimA3'	FimA3'
symR	SymR
