Operon	TU
thrLABC	thrLABC
thrLABC	thrL
yaaX	yaaX
yaaA	yaaA
yaaA	yaaA
yaaJ	yaaJ
talB	talB
htgA	htgA
htgA	htgA
yaaW	yaaW
yaaI	yaaI
yaaI	yaaI
yaaI	yaaI
dnaK-tpke11-dnaJ	dnaK-tpke11-dnaJ
dnaK-tpke11-dnaJ	dnaK-tpke11-dnaJ
dnaK-tpke11-dnaJ	dnaK-tpke11-dnaJ
insL-1	insL-1
insL-1	insL-1
mokC-hokC	hokC
nhaAR	nhaAR
nhaAR	nhaAR
rpsT	rpsT
rpsT	rpsT
ribF-ileS-lspA-fkpB-ispH	ribF-ileS-lspA-fkpB-ispH
ribF-ileS-lspA-fkpB-ispH	ileS-lspA-fkpB-ispH
ribF-ileS-lspA-fkpB-ispH	ileS-lspA-fkpB-ispH
ribF-ileS-lspA-fkpB-ispH	ileS-lspA-fkpB-ispH
ribF-ileS-lspA-fkpB-ispH	lspA-fkpB-ispH
dapB	dapB
dapB	dapB
carAB	carAB
carAB	carAB
carAB	carB
caiF	caiF
caiTABCDE	caiE
caiTABCDE	caiE
caiTABCDE	caiE
caiTABCDE	caiTABCDE
fixABCX	fixABCX
yaaU	yaaU
kefFC	kefFC
folA	folA
lptD-surA-pdxA-rsmA-apaGH	apaH
lptD-surA-pdxA-rsmA-apaGH	apaGH
lptD-surA-pdxA-rsmA-apaGH	rsmA-apaGH
lptD-surA-pdxA-rsmA-apaGH	lptD
lptD-surA-pdxA-rsmA-apaGH	lptD
djlA	djlA
lptD-surA-pdxA-rsmA-apaGH	lptD-surA-pdxA
hepA-rluA	rluA
hepA-rluA	hepA-rluA
hepA-rluA	hepA
polB	polB
araBAD	araBAD
araC	araC
yabI	yabI
sgrR-sroA-tbpA-thiPQ	thiQ
sgrR-sroA-tbpA-thiPQ	sroA
sgrR-sroA-tbpA-thiPQ	sgrR-sroA-tbpA-thiPQ
sgrST-setA	sgrST-setA
leuLABCD	leuD
leuLABCD	leuLABCD
leuLABCD	leuL
leuLABCD	leuLABCD
leuO	leuO
leuO	leuO
leuO	leuO
ilvIH	ilvIH
ilvIH	ilvIH
ilvIH	ilvIH
ilvIH	ilvIH
cra	cra
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
