TF	TU	Function	Evidence that supports the existence of the regulatory interaction
AcrR	acrAB[acrAp]	-	"[BCE, GEA]"
AcrR	acrR[acrRp]	-	"[AIBSCS, BCE, BPP, GEA, HIBSCS]"
AcrR	micF[micFp]	-	[AIBSCS]
Ada	ada-alkB[adap]	+	"[BPP, GEA, HIBSCS, SM]"
Ada	aidB[aidBp]	+	"[BPP, GEA, HIBSCS]"
Ada	alkA[alkAp]	+	"[BPP, GEA, HIBSCS, SM]"
AdiY	adiA[adiAp]	+	"[BPP, GEA]"
AdiY	gadAX[gadAp]	+	[BPP]
AdiY	gadBC[gadBp]	+	[BPP]
AdiY	gltBDF[gltBp]	+	[BPP]
AgaR	agaR[agaRp]	-	"[BPP, GEA, HIBSCS]"
AgaR	agaS-kbaY-agaBCDI[agaSp]	-	"[BPP, GEA, HIBSCS]"
AgaR	kbaZ-agaVWA[kbaZp]	-	"[BPP, GEA, HIBSCS]"
AidB	aidB[aidBp]	-	"[BPP, GEA]"
AlaS	alaS[alaSp]	-	"[BPP, GEA]"
AllR	allA[allAp]	-	"[BCE, BPP, GEA, SM]"
AllR	allS[allSp]	-	"[BCE, BPP, GEA, SM]"
AllR	gcl-hyi-glxR-ybbW-allB-ybbY-glxK[gclp]	-	"[BCE, BPP, GEA, SM]"
AllS	allDCE[allDp]	+	"[BCE, HIBSCS]"
AlsR	rpiB[rpiBp]	-	[GEA]
AlsR	rpiR-alsBACE[alsRp2]	-	[GEA]
AlsR	rpiR-alsBACE[alsRp1]	-	[GEA]
AppY	appCBXA[appCp]	+	[GEA]
AppY	hyaABCDEF[hyaAp]	+	[GEA]
AraC	araBAD[araBp]	+	"[BPP, GEA, HIBSCS, SM, BCE]"
AraC	araC[araCp]	+	"[BPP, GEA, HIBSCS, SM, BCE]"
AraC	araE[araEp]	+	"[BPP, HIBSCS]"
AraC	araFGH[araFp]	+	"[AIBSCS, BPP, HIBSCS, SM]"
AraC	araJ[araJp]	+	"[AIBSCS, BPP, HIBSCS]"
AraC	xylAB[xylAp]	-	"[BCE, GEA, HIBSCS]"
ArcA	aceBAK[aceBp]	-	[RBM]
ArcA	aceEF[aceEp]	-	[GEA]
ArcA	ackA[ackAp]	+	[GEA]
ArcA	acnA[acnAp2]	-	"[GEA, HIBSCS]"
ArcA	acnB[acnBp]	-	"[GEA, HIBSCS]"
ArcA	aldA[aldAp]	-	"[AIBSCS, BPP, HIBSCS, SM]"
ArcA	appCBXA[appCp]	+	[GEA]
ArcA	arcZ[arcZp]	-	"[GEA, HIBSCS]"
ArcA	betIBA[betIp]	-	"[BCE, GEA]"
ArcA	betT[betTp]	-	"[BCE, GEA]"
ArcA	cadBA[cadBp]	-	"[AIBSCS, GEA]"
ArcA	caiTABCDE[caiTp]	+	"[AIBSCS, GEA]"
ArcA	citCDEFXG[citCp1]	-	[AIBSCS]
ArcA	cydAB[cydAp3]	+	"[AIBSCS, GEA]"
ArcA	cydAB[cydAp4]	+	"[AIBSCS, GEA]"
ArcA	cydAB[cydAp1]	+	"[AIBSCS, BCE, BPP, GEA, HIBSCS]"
ArcA	cydAB[cydAp2]	+	"[BPP, GEA, HIBSCS]"
ArcA	cydDC[cydDp]	+	[GEA]
ArcA	cyoABCDE[cyoAp]	-	"[BCE, GEA]"
ArcA	dctA[dctAp]	-	[GEA]
ArcA	dcuC[dcuCp]	+	"[GEA, HIBSCS]"
ArcA	dpiBA[dpiBp]	+	[AIBSCS]
ArcA	fadBA[fadBp]	-	"[AIBSCS, BPP, GEA]"
ArcA	fadD-sroD[fadDp]	-	"[AIBSCS, BPP]"
ArcA	fadE[fadEp]	-	"[AIBSCS, BPP, GEA]"
ArcA	fadH[fadHp]	-	"[GEA, HIBSCS]"
ArcA	fadIJ[fadIp]	-	"[AIBSCS, BPP, GEA]"
ArcA	fadL[fadLp]	-	"[AIBSCS, BPP]"
ArcA	fnr[fnrp]	-	[GEA]
ArcA	focA-pflB[focAp1]	+	"[BPP, GEA, HIBSCS]"
ArcA	focA-pflB[focAp2]	+	"[GEA, HIBSCS]"
ArcA	fumA[fumAp]	-	[GEA]
ArcA	fumAC[fumAp]	-	[GEA]
ArcA	fumB[fumBp]	+	[GEA]
ArcA	fumC[fumCp]	-	[GEA]
ArcA	gadAX[gadAp]	+	"[AIBSCS, GEA]"
ArcA	gadE[gadEp1]	+	"[BPP, GEA]"
ArcA	gadE[gadEp3]	+	"[BPP, GEA]"
ArcA	gatYZABCD[gatYp]	-	"[AIBSCS, GEA]"
ArcA	glcDEFGBA[glcDp]	-	"[AIBSCS, BPP, GEA]"
ArcA	glpABC[glpABCp]	-	[GEA]
ArcA	glpD[glpDp]	-	[GEA]
ArcA	gltA[gltAp1]	-	"[BCE, GEA, HIBSCS]"
ArcA	grcA[yfiDp]	+	"[GEA, HIBSCS]"
ArcA	hemA-prfA-prmC[hemAp1]	+	[GEA]
ArcA	hyaABCDEF[hyaAp]	+	"[BPP, GEA, HIBSCS]"
ArcA	hybOABCDEFG[hybOp1]	-	"[GEA, HIBSCS]"
ArcA	icd[icdAp1]	-	"[BPP, GEA, HIBSCS]"
ArcA	iraM[iraMp]	+	[AIBSCS]
ArcA	lldPRD[lldPp]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
ArcA	lpd[lpdAp]	-	"[AIBSCS, BPP, GEA]"
ArcA	mdh[mdhp1]	-	"[BCE, GEA]"
ArcA	moeAB[moeAp]	+	"[BPP, GEA]"
ArcA	ndh[ndhp]	-	"[AIBSCS, GEA]"
ArcA	nuoABCEFGHIJKLMN[nuoAp2]	-	"[BCE, GEA, SM]"
ArcA	oppABCDF[oppAp]	-	"[AIBSCS, GEA]"
ArcA	ptsG[ptsGp1]	-	"[BPP, GEA]"
ArcA	puuAP[puuAp]	-	"[AIBSCS, GEA]"
ArcA	puuDRCBE[puuDp]	-	"[AIBSCS, GEA]"
ArcA	rhaT[rhaTp]	-	"[AIBSCS, GEA]"
ArcA	rpoS[rpoSp]	-	"[BPP, GEA]"
ArcA	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ[rpsJp]	-	"[AIBSCS, GEA]"
ArcA	rutABCDEFG[rutAp]	+	"[AIBSCS, GEA]"
ArcA	sdhCDAB-sucABCD[sdhCp]	+	"[BPP, GEA, HIBSCS]"
ArcA	sodA[sodAp]	-	"[AIBSCS, BCE, HIBSCS]"
ArcA	ssb[ssbp2]	-	"[BPP, GEA, HIBSCS]"
ArcA	ssb[ssbp1]	-	"[BPP, GEA, HIBSCS]"
ArcA	ssb[ssbp3]	-	"[BPP, GEA, HIBSCS]"
ArcA	sucAB[sucAp]	-	"[BPP, GEA]"
ArcA	sucABCD[sucAp]	-	"[BPP, GEA]"
ArcA	tpx[tpxp]	-	"[GEA, HIBSCS]"
ArcA	treBC[treBp]	+	"[AIBSCS, GEA]"
ArcA	ubiCA[ubiCp]	-	[GEA]
ArcA	uvrA[uvrAp]	-	"[BPP, GEA, HIBSCS]"
ArcA	xylR[xylRp]	+	"[AIBSCS, GEA]"
ArcA	ybdN[ybdNp]	+	[AIBSCS]
ArcA	ydeA[ydeAp]	-	"[AIBSCS, GEA]"
ArgP	argO[argOp]	+	"[BCE, BPP, GEA, HIBSCS, IC]"
ArgP	argP[argPp]	-	"[GEA, HIBSCS, IC]"
ArgP	dapB[dapBp1]	+	"[BCE, BPP, GEA, HIBSCS, IC]"
ArgP	dapD[dapDp]	+	"[BPP, GEA]"
ArgP	dnaAN-recF[dnaAp1]	+	"[BPP, GEA, IC]"
ArgP	gdhA[gdhAp1]	+	"[BPP, GEA]"
ArgP	lysA[lysAp]	+	"[BPP, GEA]"
ArgP	lysC[lysCp1]	+	"[BPP, GEA]"
ArgP	lysP[lysPp]	+	"[BPP, GEA, HIBSCS, IC, SM]"
ArgP	nrdAB-yfaE[nrdAp]	+	"[BPP, GEA, IC]"
ArgR	argA[argAp]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
ArgR	argCBH[argCp]	-	"[AIBSCS, BCE, BPP, GEA, SM]"
ArgR	argD[argDp]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
ArgR	argE[argEp1]	-	"[AIBSCS, BCE, BPP, GEA, SM]"
ArgR	argF[argFp]	-	"[AIBSCS, BCE, BPP, GEA, SM]"
ArgR	argG[argGp]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
ArgR	argI[argIp]	-	"[AIBSCS, BCE, BPP, GEA]"
ArgR	argR[argRp1]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
ArgR	artJ[artJp]	-	"[AIBSCS, BPP, GEA, SM]"
ArgR	artPIQM[artPp]	-	"[AIBSCS, BPP, GEA, SM]"
ArgR	astCADBE[astCp2]	+	"[AIBSCS, BPP, GEA]"
ArgR	carAB[carAp2]	-	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
ArgR	gltBDF[gltBp]	-	"[BPP, GEA, HIBSCS]"
ArgR	hisJQMP[hisJp]	-	"[AIBSCS, BPP, GEA, SM]"
ArgR	metY[metYp2]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
ArgR	metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp[metYp2]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
ArsR	arsRBC[arsRp]	-	"[AIBSCS, BPP, GEA]"
AscG	ascFB[ascFp]	-	"[AIBSCS, BPP, GEA]"
AscG	htpG[htpGp1]	-	"[AIBSCS, BPP]"
AscG	prpR[prpRp]	-	"[AIBSCS, BPP, GEA]"
AscG	ybiT[ybiTp]	-	"[AIBSCS, BPP]"
AsnC	asnA[asnAp]	+	[GEA]
AsnC	asnC[asnCp]	-	[GEA]
AsnC	asnC-mioC[asnCp]	-	[GEA]
AsnC	asnC-mioC-mnmG[asnCp]	-	[GEA]
AtoC	atoDAEB[atoDp]	+	"[BPP, GEA, HIBSCS, SM]"
BaeR	acrD[acrDp2]	+	"[BPP, GEA, IC]"
BaeR	mdtABCD-baeSR[mdtAp]	+	"[AIBSCS, BPP, GEA]"
BaeR	spy[spyp]	+	"[AIBSCS, BPP, GEA, HIBSCS, IC]"
BasR	csgDEFG[csgDp1]	+	"[BPP, GEA, HIBSCS]"
BasR	cspI[cspIp]	+	"[BPP, HIBSCS]"
BasR	dgkA[dgkAp1]	+	"[BPP, GEA, HIBSCS, SM]"
BasR	fimB[fimBp2]	+	"[BPP, HIBSCS]"
BasR	putA[putAp]	-	"[BPP, HIBSCS]"
BasR	qseBC[qseBp2]	+	"[BPP, GEA]"
BasR	tomB-hha[tomBp1]	+	"[BPP, HIBSCS]"
BasR	yrbL[yrbLp]	-	"[BPP, GEA, HIBSCS]"
BetI	betIBA[betIp]	-	"[GEA, HIBSCS]"
BetI	betT[betTp]	-	"[GEA, HIBSCS]"
BirA	bioA[bioAp]	-	[SM]
BirA	bioBFCD[bioBp]	-	[SM]
BluR	ycgZ-ymgA-ariR-ymgC[ycgZp]	-	"[BPP, GEA]"
BolA	ampC[ampCp]	+-	"[GEA, IMP]"
BolA	dacC[dacCp]	+-	"[GEA, IMP]"
CRP	aaeR[aaeRp]	-	"[GEA, HIBSCS]"
CRP	aaeXAB[aaeXp]	+	"[GEA, HIBSCS]"
CRP	aceBAK[aceBp]	-	"[AIBSCS, GEA]"
CRP	acnA[acnAp2]	+	"[GEA, HIBSCS]"
CRP	acnB[acnBp]	+	"[GEA, HIBSCS]"
CRP	acs-yjcH-actP[acsp2]	+	"[AIBSCS, BPP, GEA, SM]"
CRP	aer[aerp]	+	"[AIBSCS, BCE, BPP, GEA, SM]"
CRP	agp[agpp]	+	"[AIBSCS, GEA]"
