TU	Gene
C0067	C0067
C0293	C0293
C0299	C0299
C0343-dbpA	C0343
C0343-dbpA	dbpA
C0362	C0362
C0465	C0465
C0614	C0614
C0664	C0664
C0719	C0719
IS128	IS128
aaeR	aaeR
aaeB	aaeB
aaeXAB	aaeX
aaeXAB	aaeA
aaeXAB	aaeB
aas-lplT	aas
aas-lplT	lplT
lplT	lplT
aat	aat
abgABT-ogt	abgA
abgABT-ogt	abgB
abgABT-ogt	abgT
abgABT-ogt	ogt
ogt	ogt
abgR	abgR
abrB	abrB
accA	accA
accBC	accB
accBC	accC
accD	accD
aceBAK	aceB
aceBAK	aceA
aceBAK	aceK
aceK	aceK
ackA	ackA
ackA-pta	ackA
ackA-pta	pta
pta	pta
acnA	acnA
acnB	acnB
acpH	acpH
acpT	acpT
acrAB	acrA
acrAB	acrB
acrB	acrB
acrD	acrD
acrEF	acrE
acrEF	acrF
acrR	acrR
acrZ	acrZ
acs-yjcH-actP	acs
acs-yjcH-actP	yjcH
acs-yjcH-actP	actP
actP	actP
ada-alkB	ada
ada-alkB	alkB
alkB	alkB
add	add
adeD	adeD
adeP	adeP
adeQ	adeQ
adhE	adhE
adhP	adhP
adiA	adiA
adiC	adiC
adiY	adiY
adk	adk
adrA	adrA
aegA	aegA
aer	aer
aes	aes
agaR	agaR
agaS-kbaY-agaBCDI	agaS
agaS-kbaY-agaBCDI	kbaY
agaS-kbaY-agaBCDI	agaB
agaS-kbaY-agaBCDI	agaC
agaS-kbaY-agaBCDI	agaD
agaS-kbaY-agaBCDI	agaI
agp	agp
agrA	agrA
agrB	agrB
ahpCF	ahpC
ahpCF	ahpF
ahpF	ahpF
ahr	ahr
aidB	aidB
ais	ais
alaA	alaA
alaA-yfbR	alaA
alaA-yfbR	yfbR
yfbR	yfbR
alaC	alaC
alaE	alaE
alaS	alaS
alaWX	alaW
alaWX	alaX
aldA	aldA
aldB	aldB
alkA	alkA
allA	allA
allDCE	allD
allDCE	allC
allDCE	allE
allE	allE
allR	allR
allS	allS
alpA	alpA
alr	alr
alsK	alsK
alx	alx
amiA-hemF	amiA
amiA-hemF	hemF
hemF	hemF
amiC	amiC
amn	amn
ampC	ampC
ampDE	ampD
ampDE	ampE
ampG	ampG
ampH	ampH
amyA	amyA
anmK	anmK
ansA-pncA	ansA
ansA-pncA	pncA
ansB	ansB
ansP	ansP
apbE	apbE
aphA	aphA
appA	appA
appCBXA	appC
appCBXA	appB
appCBXA	appX
appCBXA	appA
appY	appY
apt	apt
aqpZ	aqpZ
araBAD	araB
araBAD	araA
araBAD	araD
araC	araC
araE	araE
araFGH	araF
araFGH	araG
araFGH	araH
araH	araH
araJ	araJ
arcA	arcA
arcB	arcB
arcZ	arcZ
arfA	arfA
argA	argA
argCBH	argC
argCBH	argB
argCBH	argH
argD	argD
argE	argE
argF	argF
argG	argG
argI	argI
argO	argO
argP	argP
argR	argR
argS	argS
argT-hisJQMP	argT
argT-hisJQMP	hisJ
argT-hisJQMP	hisQ
argT-hisJQMP	hisM
argT-hisJQMP	hisP
hisJQMP	hisJ
hisJQMP	hisQ
hisJQMP	hisM
hisJQMP	hisP
argU	argU
argW	argW
argX-hisR-leuT-proM	argX
argX-hisR-leuT-proM	hisR
argX-hisR-leuT-proM	leuT
argX-hisR-leuT-proM	proM
arnBCADTEF	arnB
arnBCADTEF	arnC
arnBCADTEF	arnA
arnBCADTEF	arnD
arnBCADTEF	arnT
arnBCADTEF	arnE
arnBCADTEF	arnF
aroF-tyrA	aroF
aroF-tyrA	tyrA
aroG	aroG
aroH	aroH
aroKB-damX-dam-rpe-gph-trpS	aroK
aroKB-damX-dam-rpe-gph-trpS	aroB
aroKB-damX-dam-rpe-gph-trpS	damX
aroKB-damX-dam-rpe-gph-trpS	dam
aroKB-damX-dam-rpe-gph-trpS	rpe
aroKB-damX-dam-rpe-gph-trpS	gph
aroKB-damX-dam-rpe-gph-trpS	trpS
dam-rpe-gph-trpS	dam
dam-rpe-gph-trpS	rpe
dam-rpe-gph-trpS	gph
dam-rpe-gph-trpS	trpS
damX-dam-rpe-gph-trpS	damX
damX-dam-rpe-gph-trpS	dam
damX-dam-rpe-gph-trpS	rpe
damX-dam-rpe-gph-trpS	gph
