TU	Promoter
aaeB	aaeBp7
aaeB	aaeBp8
aaeR	aaeRp
aaeR	aaeRp10
aaeR	aaeRp6
aaeR	aaeRp7
aaeR	aaeRp9
aaeXAB	aaeXp
aat	aatp5
accA	accAp
accBC	accBp
accD	accDp
aceBAK	aceBp
aceEF	aceEp
aceK	aceKp
ackA	ackAp
acnA	acnAp1
acnA	acnAp2
acnA	acnAp3
acnB	acnBp
acnB	acnBp2
acpP	acpPp
acpP-fabF	acpPp
acpS	acpSp2
acpS	acpSp3
acrAB	acrAp
acrB	acrBp
acrD	acrDp
acrD	acrDp2
acrEF	acrEp
acrR	acrRp
acrZ	acrZp
acs-yjcH-actP	acsp1
acs-yjcH-actP	acsp2
actP	actPp
ada-alkB	adap
add	addp6
adeD	adep
adeD	adep6
adeD	adep7
adhE	adhEp1
adhE	adhEp2
adhP	adhPp5
adiA	adiAp
adiC	adiCp7
adiY	adiYp
adk	adkp
adrA	adrAp
aer	aerp
aes	aesp
agaR	agaRp
agaS-kbaY-agaBCDI	agaSp
agp	agpp
agrA	agrAp
agrB	agrBp
ahpCF	ahpCp
ahpCF	ahpCp2
ahpF	ahpFp
aidB	aidBp
ais	aisp4
ais	aisp7
ais	aisp8
alaA-yfbR	alaAp7
alaA	alaAp9
alaC	alaCp
alaE	alaEp1
alaE	alaEp11
alaS	alaSp
alaWX	alaWp
alaWX	alaXp2
alaWX	alaXp4
alaWX	alaXp5
aldA	aldAp
aldB	aldBp
alkA	alkAp
alkB	alkBp
allA	allAp
allDCE	allDp
allR	allRp
allS	allSp
alr	alrp1
alr	alrp2
alsBACE	alsBp
alsE	alsEp2
alsE	alsEp3
alsK	alsKp1
rpiR-alsBACE	alsRp1
rpiR-alsBACE	alsRp2
alx	alxp3
alx	alxp4
alx	alxp5
amiA-hemF	amiAp
amiC	amiCp6
amiC	amiCp7
amn	amnp1
ampC	ampCp
ampDE	ampD
ampDE	ampDp5
ampG	ampGp4
ampG	ampGp5
ampG	ampGp6
ampH	ampHp1
ampH	ampHp2
amyA	amyAp
anmK	anmKp9
ansB	ansBp1
ansB	ansBp2
ansP	ansPp1
ansP	ansPp2
apaGH	apaGp
apaH	apaHp4
apbE	apbEp1
appA	appAp
appCBXA	appCp
appY	appYp
appY	appYp2
apt	aptp
aqpZ	aqpZp2
aqpZ	aqpZp3
araBAD	araBp
araC	araCp
araE	araEp
araFGH	araFp
araFGH	araFp2
araH	araHp7
araJ	araJp
arcA	arcAp1
arcA	arcAp2
arcA	arcAp3
arcA	arcAp4
arcA	arcAp5
arcA	arcAp6
arcA	arcAp7
arcB	arcBp
arcZ	arcZp
arfA	arfAp3
argA	argAp
argCBH	argCp
argD	argDp
argE	argEp1
argE	argEp2
argF	argFp
argG	argGp
argI	argIp
argO	argOp
argP	argPp
argQ	argQp
argR	argRp1
argR	argRp2
argS	argSp4
argT-hisJQMP	argTp
argU	argUp
argW	argWp
argX-hisR-leuT-proM	argXp
aroF-tyrA	aroFp
aroG	aroGp
aroH	aroHp1
aroH	aroHp2
aroKB-damX-dam-rpe-gph-trpS	aroKp1
aroKB-damX-dam-rpe-gph-trpS	aroKp2
aroL-yaiA-aroM	aroLp
aroP	aroPp1
aroP	aroPp2
arpA	arpAp1
arpA	arpAp8
arpA	arpAp9
arrS	arrSp
arsRBC	arsRp
artJ	artJp
artPIQM	artPp
artPIQM	artPp1
artPIQM	artPp2
artPIQM	artPp3
ascFB	ascFp
ascG	ascGp
aslB	aslBp
asnA	asnAp
asnB	asnBp
asnC	asnCp
asnC-mioC	asnCp
asnC-mioC-mnmG	asnCp
