Identifier	NAME	TF Active Conformations	TF Inactive Conformations	"Evidence that supports the TF [Evidence name|Evidence type: S = Strong, W = Weak| Evidence code]"	PMID list
ECK125140816	AccB				
ECK120015994	AcrR	AcrR	AcrR-Ethidium|AcrR-R6G|AcrR-Proflavin	"[GEA|W|Gene expression analysis], [IMP|W|Inferred from mutant phenotype], [APPH|S|Assay of protein purified  to homogeneity], [IEP|W|Inferred from expression pattern]"	8821940
ECK120012595	Ada	Ada-Methylated|Ada		"[IMP|W|Inferred from mutant phenotype], [IPI|W|Inferred from physical interaction], [HIFS|W|Human inference of function from sequence]"	"10049384, 11073893, 16452614, 2982792, 2987251, 3047400, 6092060, 7556074, 7713936, 7937881, 8676855, 8720133, 9582376"
ECK120014170	AdiY			"[GEA|W|Gene expression analysis], [HIFS|W|Human inference of function from sequence]"	8704970
ECK120012515	AgaR			"[APPH|S|Assay of protein purified  to homogeneity], [IEP|W|Inferred from expression pattern]"	14731281
ECK125134683	AidB			"[IEP|W|Inferred from expression pattern], [APPP|W|Assay of partially-purified protein]"	20889740
ECK120030264	AlaS	AlaS-L-alanine	AlaS	"[HIFS|W|Human inference of function from sequence], [IEP|W|Inferred from expression pattern], [APPHINH|S|Assay of protein purified to homogeneity from its native host]"	6264314
ECK120015630	AllR	AllR	AllR-Glyoxylate		
ECK120015636	AllS	AllS-allantoin	AllS	"[AIFS|W|Automated inference of function from sequence], [IEP|W|Inferred from expression pattern]"	12460564
ECK120012984	AlpA			[IMP|W|Inferred from mutant phenotype]	7511582
ECK120011959	AlsR	AlsR	AlsR-D-allose	"[GEA|W|Gene expression analysis], [AIFS|W|Automated inference of function from sequence]"	"8576032, 9401019"
ECK120012987	AppY			[IE|W|Inferred from experiment]	"2537825, 3295784, 8071219"
ECK120012316	AraC	AraC-L-arabinose|AraC	AraC-D-fucose	"[APPH|S|Assay of protein purified  to homogeneity], [IEP|W|Inferred from expression pattern]"	"2231717, 8510144, 8516313, 8980677"
ECK120011345	ArcA	ArcA-Phosphorylated	ArcA	"[APPH|S|Assay of protein purified  to homogeneity], [HIFS|W|Human inference of function from sequence], [APPHINH|S|Assay of protein purified to homogeneity from its native host]"	"1512197, 16849788, 19715602, 2984198, 7855430, 7957084, 8226939"
ECK120011202	ArgP	ArgP|ArgP-L-arginine	ArgP-Lysine	"[IPI|W|Inferred from physical interaction], [HIFS|W|Human inference of function from sequence], [IEP|W|Inferred from expression pattern]"	"2034653, 9819053"
ECK120011670	ArgR	ArgR-L-arginine	ArgR	"[IPI|W|Inferred from physical interaction], [HIFS|W|Human inference of function from sequence], [APPHINH|S|Assay of protein purified to homogeneity from its native host]"	"11580241, 1640456, 1640457, 17850814, 3116542, 8594204"
ECK120030724	ArsR	ArsR	ArsR-antimonite|ArsR-arsenite	"[HIFS|W|Human inference of function from sequence], [IEP|W|Inferred from expression pattern], [APPHINH|S|Assay of protein purified to homogeneity from its native host]"	"12829264, 8051064, 8576202, 8764681"
ECK120026318	AscG			"[GEA|W|Gene expression analysis], [HIFS|W|Human inference of function from sequence], [APPHINH|S|Assay of protein purified to homogeneity from its native host]"	"1630307, 19633077"
ECK120013010	AsnC	AsnC	AsnC-L-asparagine	"[HIFS|W|Human inference of function from sequence], [IEP|W|Inferred from expression pattern]"	"16528101, 2864330"
ECK120013014	AtoC	AtoC-phosphorylated	AtoC	"[HIFS|W|Human inference of function from sequence], [IEP|W|Inferred from expression pattern]"	"2883171, 8346225"
ECK120015687	BaeR	BaeR-Phosphorylated		"[GEA|W|Gene expression analysis], [APPH|S|Assay of protein purified  to homogeneity]"	12107134
ECK125145855	BasR				
ECK120013017	BetI	BetI	BetI-choline	"[APPH|S|Assay of protein purified  to homogeneity], [HIFS|W|Human inference of function from sequence], [IEP|W|Inferred from expression pattern]"	"1956285, 8626295"
ECK125147338	BglJ				
ECK120012646	BirA	BirA-bio-5'-AMP	BirA	[HIFS|W|Human inference of function from sequence]	3536662
ECK120051438	BluR			"[APPH|S|Assay of protein purified  to homogeneity], [HIFS|W|Human inference of function from sequence], [IEP|W|Inferred from expression pattern]"	"15556475, 19240136"
ECK120029348	BolA			"[GEA|W|Gene expression analysis], [HIFS|W|Human inference of function from sequence]"	"12354237, 2684651, 3053647"
ECK120011235	CRP	CRP-cAMP	CRP	"[IHBCE|W|Inferred by a human based on computational evidence], [IMP|W|Inferred from mutant phenotype], [IPI|W|Inferred from physical interaction], [APPH|S|Assay of protein purified  to homogeneity], [HIFS|W|Human inference of function from sequence], [IEP|W|Inferred from expression pattern], [APPP|W|Assay of partially-purified protein]"	"10564497, 10852886, 11742992, 14638413, 15150239, 15520470, 15659676, 19439203, 8735277"
ECK120011250	CadC			[IMP|W|Inferred from mutant phenotype]	1370290
ECK120013805	CaiF				
ECK120013750	Cbl	Cbl	Cbl-adenosine 5' phosphosulphate|Cbl-Thiosulphate	[IE|W|Inferred from experiment]	
ECK120011953	CdaR			"[GEA|W|Gene expression analysis], [IFC|S|Inferred by functional complementation]"	"10762278, 14645248"
ECK120012036	ChbR	ChbR-Monoacetylchitobiose-6P			22797760
ECK125141239	ComR			"[AIFS|W|Automated inference of function from sequence], [IEP|W|Inferred from expression pattern], [APPHINH|S|Assay of protein purified to homogeneity from its native host]"	"15556475, 22089859"
ECK120011210	CpxR	CpxR-Phosphorylated	CpxR		
ECK120013112	Cra	Cra	"Cra-Fructose-1,6-diphosphate|Cra-Fructose-1-phosphate"	"[APPH|S|Assay of protein purified  to homogeneity], [HIFS|W|Human inference of function from sequence]"	"1630901, 1851954, 2198273, 8195118, 8230205, 8858581, 9237914, 9371462"
ECK120035002	CreB	CreB-Phosphorylated	CreB	"[APPH|S|Assay of protein purified  to homogeneity], [AIFS|W|Automated inference of function from sequence], [IEP|W|Inferred from expression pattern]"	"11350954, 18375564"
ECK120013342	CsgD			[IE|W|Inferred from experiment]	
ECK120012075	CsiR			[IMP|W|Inferred from mutant phenotype]	"12446648, 14731280"
ECK120013061	CspA			"[TASES|W|Traceable author statement to experimental support], [APPH|S|Assay of protein purified  to homogeneity], [IEP|W|Inferred from expression pattern]"	"1961761, 3553157, 7748932, 8995247"
ECK120034780	CueR	CueR-Cu<sup>+</sup>|CueR-Ag|CuerR-Au	CueR	"[IPI|W|Inferred from physical interaction], [AIFS|W|Automated inference of function from sequence], [IEP|W|Inferred from expression pattern]"	"10915804, 12958362"
ECK120011941	CusR	CusR-P<SUP>asp</SUP>	CusR	"[IMP|W|Inferred from mutant phenotype], [HIFS|W|Human inference of function from sequence], [APPHINH|S|Assay of protein purified to homogeneity from its native host]"	"11004187, 15522865, 15773991"
ECK120013065	CynR	CynR-Cyanate		"[IPI|W|Inferred from physical interaction], [AIFS|W|Automated inference of function from sequence], [IEP|W|Inferred from expression pattern]"	"1592818, 7961413"
ECK120011312	CysB	CysB-N-acetyl-L-serine|CysB-O-acetyl-L-serine	CysB-Thiosulfate|CysB-Sulphide	"[IMP|W|Inferred from mutant phenotype], [APPH|S|Assay of protein purified  to homogeneity], [HIFS|W|Human inference of function from sequence], [IEP|W|Inferred from expression pattern], [APPP|W|Assay of partially-purified protein]"	"14663078, 15255893, 2182030, 3032952, 6792186, 9401024"
ECK120012407	CytR	CytR	CytR-Cytidine	"[IPI|W|Inferred from physical interaction], [AIFS|W|Automated inference of function from sequence], [IEP|W|Inferred from expression pattern]"	"1328649, 1655726, 3515317"
ECK120051451	Dan			"[APPHINH|S|Assay of protein purified to homogeneity from its native host], [APPPINH|W|Assay of protein partially-purified from its native host]"	"19661178, 20156994"
ECK120034977	DcuR	DcuR-Phosphorylated	DcuR	"[IPI|W|Inferred from physical interaction], [AIFS|W|Automated inference of function from sequence], [IEP|W|Inferred from expression pattern]"	"15073297, 9765574, 9973351"
ECK120012664	DeoR	DeoR	DeoR-Deoxyribose-5-phosphate	[IE|W|Inferred from experiment]	"2653814, 2994018"
ECK120015690	DhaR	DhaR	DhaR-DhaK	[IMP|W|Inferred from mutant phenotype]	15616579
ECK120029345	DicA			"[IFC|S|Inferred by functional complementation], [HIFS|W|Human inference of function from sequence], [IEP|W|Inferred from expression pattern], [APPHINH|S|Assay of protein purified to homogeneity from its native host]"	"23028867, 3041373, 3053647"
ECK125147337	DinJ				
ECK125141203	YafQ				
ECK125141203	DinJ-YafQ			"[IDA|S|Inferred from direct assay], [IGI|W|Inferred from genetic interaction]"	"17263853, 19210620, 21788497"
