Global condition name	Specific condition (contained in the global condition) name	Control condition name	Experimental Details of the specific condition	Experimental Details of the control condition	Gene affected by the specific condition*	Gene expression effect caused by the specific condition	Promoter affected by the condition	Conformation of the transcription factor through which the condition affects the gene expression
Aerobiosis/ Anaerobiosis	aerobic growth	anaerobic growth			ndh	induced	ndhp	
Aerobiosis/ Anaerobiosis	aerobic growth	anaerobic growth			ndh	repressed	ndhp	
Aerobiosis/ Anaerobiosis	aerobic growth	anaerobic growth			oxyR	induced	oxyRp	
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			acnA	repressed		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			acnB	repressed		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			adhE	induced	adhEp1	
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			adhE	induced	adhEp2	
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			adhE	induced		FruR
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			adiA	induced	adiAp	
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			aegA	induced		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			aldA	repressed	aldAp	
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			appY	induced		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			arcA	induced		ArcA-Phosphorylated
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			betA	repressed		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			betT	repressed		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			cyaA	induced		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			cydA	induced	cydAp2	
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			dcuB	induced		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			fumA	repressed		ArcA-Phosphorylated
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			fumA	repressed		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			fumA	repressed		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			fumA	repressed		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			fumA	repressed		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			fumA	repressed		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			fumB	induced		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			fumC	repressed		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			fumC	repressed		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			fumC	repressed		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			fumC	repressed		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			fumC	repressed		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			fumC	repressed		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			hmp	repressed		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			hyaA	induced		AppY
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			hyaA	repressed		ArcA-Phosphorylated
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			hyaA	repressed		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			hycA	induced	hycAp	ModE-MoO
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			hycA	induced		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			hycB	induced	hycAp	ModE-MoO
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			hycC	induced	hycAp	ModE-MoO
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			hycD	induced	hycAp	ModE-MoO
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			hycE	induced	hycAp	ModE-MoO
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			hycF	induced	hycAp	ModE-MoO
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			hycG	induced	hycAp	ModE-MoO
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			hycH	induced	hycAp	ModE-MoO
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			hydN	induced		FhlA-Formate
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			hydN	induced		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			hyfA	induced		FhlA-Formate
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			hypF	induced		FhlA-Formate
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			moaA	induced	moaAp1	
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			napF	induced	napFp2	ModE-MoO
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			napF	induced	napFp2	
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			napF	induced	napFp2	
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			narG	induced	narGp	NarL-Phosphorylated
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			narH	induced	narGp	NarL-Phosphorylated
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			narI	induced	narGp	NarL-Phosphorylated
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			narJ	induced	narGp	NarL-Phosphorylated
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			narK	induced		NarL-Phosphorylated
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			ndh	repressed	ndhp	
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			ndh	repressed		FNR
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			nfrA	not effect		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			nirB	induced		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			nirB	induced		
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			nrfF	induced	nrfAp	
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			nrfF	repressed	nrfAp	
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			torA	induced	torCp	
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			torA	repressed		TorR-Phosphorylated
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			torC	induced	torCp	TorR-Phosphorylated
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			torC	repressed	torCp	TorR-Phosphorylated
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			torD	induced	torCp	
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			tpx	repressed	tpxp	
Aerobiosis/ Anaerobiosis	anaerobiosis	aerobiosis			yiaK	induced		
Aerobiosis/ Anaerobiosis	growth on anaerobiosis	growth on aerobiosis			aegA	repressed		
Aerobiosis/ Anaerobiosis	growth on anaerobiosis	growth on aerobiosis			aidB	induced	aidBp	
Aerobiosis/ Anaerobiosis	growth on anaerobiosis	growth on aerobiosis			dcuB	induced		
Aerobiosis/ Anaerobiosis	growth on anaerobiosis	growth on aerobiosis			dcuB	induced		
Aerobiosis/ Anaerobiosis	growth on anaerobiosis	growth on aerobiosis			dcuC	repressed		
Aerobiosis/ Anaerobiosis	growth on anaerobiosis	growth on aerobiosis			dmsA	induced		
Aerobiosis/ Anaerobiosis	growth on anaerobiosis	growth on aerobiosis			dmsB	induced		
Aerobiosis/ Anaerobiosis	growth on anaerobiosis	growth on aerobiosis			dmsC	induced		
Aerobiosis/ Anaerobiosis	growth on anaerobiosis	growth on aerobiosis			fumC	induced		
Aerobiosis/ Anaerobiosis	growth on anaerobiosis	growth on aerobiosis			hyaA	induced		
Aerobiosis/ Anaerobiosis	growth on anaerobiosis	growth on microaerobiosis			fhlA	not effect		
Aerobiosis/ Anaerobiosis	growth on anaerobiosis	growth on microaerobiosis			yfiD	repressed	yfiDp	
Aerobiosis/ Anaerobiosis	growth on microaerobiosis	growth on aerobiosis			hydN	induced		
Aerobiosis/ Anaerobiosis	growth on microaerobiosis	growth on aerobiosis			yfiD	induced	yfiDp	
Aerobiosis/ Anaerobiosis	growth on nitrate	growth without nitrate			dmsA	repressed		
Aerobiosis/ Anaerobiosis	growth on nitrate	growth without nitrate			dmsB	repressed		
Aerobiosis/ Anaerobiosis	growth on nitrate	growth without nitrate			dmsC	repressed		
Amino acids	Amino acid starvation	with amino acids			guaA	repressed	guaBp	
Amino acids	Amino acid starvation	with amino acids			guaB	repressed	guaBp	
Amino acids	Amino acid starvation	with amino acids			hupB	repressed	hupBp2	
Amino acids	Amino acid starvation	with amino acids			ilvL	induced	ilvIHp1	
Amino acids	Amino acid starvation	with amino acids			leuB	induced		
Amino acids	Growth on Tyrosine 1 mM	growth without Tyrosine			aroP	repressed	aroPp1	TyrR-Tyrosine
Amino acids	Growth on Tyrosine 1 mM	growth without Tyrosine			aroP	repressed	aroPp2	TyrR-Tyrosine
Amino acids	Growth on Tyrosine 1 mM	growth without Tyrosine			mtr	induced	mtrp2	TyrR-Tyrosine
Amino acids	Growth with amino acid on the medium	Culture medium without amino acids			aidB	induced		
Amino acids	Growth with amino acid on the medium	Culture medium without amino acids			gcvT	induced		
Amino acids	Growth with amino acid on the medium	Culture medium without amino acids			ilvL	repressed		
Amino acids	Growth with amino acid on the medium	Culture medium without amino acids			osmY	induced		
Amino acids	Growth with amino acid on the medium	Culture medium without amino acids			sdaC	induced		CRP-cAMP
Amino acids	Growth with amino acid on the medium	Culture medium without amino acids			sdaC	induced		Lrp-Leucine
Amino acids	Growth with amino acid on the medium	Culture medium without amino acids			stpA	repressed		Lrp-Leucine
Amino acids	Growth with proline	Growth without proline			putA	induced		
Amino acids	Growth with proline	Growth without proline			putP	induced		
Amino acids	growth on phenylalanine 1 mM	growth without phenylalanine			aroP	repressed	aroPp1	TyrR-Phenylalanine
Amino acids	growth on phenylalanine 1 mM	growth without phenylalanine			aroP	repressed	aroPp2	TyrR-Phenylalanine
Amino acids	growth on tryptophan 1 mM	growth without tryptophan			aroP	repressed	aroPp1	TyrR-Tryptophan
Amino acids	growth on tryptophan 1 mM	growth without tryptophan			aroP	repressed	aroPp2	TyrR-Tryptophan
Amino acids	with phenylalanine	without phenylalanine			aroL	repressed	aroLp	TyrR-Phenylalanine
Amino acids	with phenylalanine	without phenylalanine			aroM	repressed	aroLp	TyrR-Phenylalanine
Amino acids	with phenylalanine	without phenylalanine			mtr	induced	mtrp2	TyrR-Phenylalanine
Amino acids	with phenylalanine	without phenylalanine			tyrP	induced	tyrPp1	TyrR-Phenylalanine
Amino acids	with phenylalanine	without phenylalanine			yaiA	repressed	aroLp	TyrR-Phenylalanine
Amino acids	with tryptophan	without tryptophan			aroL	repressed	aroLp	TyrR-Tryptophan
Amino acids	with tryptophan	without tryptophan			aroM	repressed	aroLp	TyrR-Tryptophan
Amino acids	with tryptophan	without tryptophan			mtr	repressed	mtrp2	TyrR-Tryptophan
Amino acids	with tryptophan	without tryptophan			yaiA	repressed	aroLp	TyrR-Tryptophan
Amino acids	with tyrosine	without tyrosine			aroF	repressed	aroFp	TyrR-Tyrosine
Amino acids	with tyrosine	without tyrosine			aroL	repressed	aroLp	TyrR-Tyrosine
Amino acids	with tyrosine	without tyrosine			aroM	repressed	aroLp	TyrR-Tyrosine
Amino acids	with tyrosine	without tyrosine			mtr	induced	mtrp2	TyrR-Tyrosine
Amino acids	with tyrosine	without tyrosine			tyrA	repressed	aroFp	TyrR-Tyrosine
Amino acids	with tyrosine	without tyrosine			tyrP	repressed	tyrPp1	TyrR-Tyrosine
Amino acids	with tyrosine	without tyrosine			yaiA	repressed	aroLp	TyrR-Tyrosine
Antibiotic stress	Growth with arsenite	Growth without arsenite			arsR	induced		
Antibiotic stress	with ampicillin	without ampicillin			marA	not effect		
Antibiotic stress	with antibiotic stress	without antibiotic stress			mprA	induced		
Antibiotic stress	with antibiotic stress	without antibiotic stress			mprA	induced		
Antibiotic stress	with antibiotic stress	without antibiotic stress			mprA	induced		
Antibiotic stress	with antibiotic stress	without antibiotic stress			mprA	induced		
Antibiotic stress	with antibiotic stress	without antibiotic stress			mprA	induced		
Antibiotic stress	with antibiotic stress	without antibiotic stress			mprA	not effect		
Antibiotic stress	with antibiotic stress	without antibiotic stress			mprA	not effect		
Antibiotic stress	with antibiotic stress	without antibiotic stress			tyrT	repressed		
Antibiotic stress	with chloramphenicol	without chloramphenicol			hscA	induced		
Antibiotic stress	with chloramphenicol	without chloramphenicol			marA	induced	marRp	
Antibiotic stress	with chloramphenicol	without chloramphenicol			marB	induced	marRp	
Antibiotic stress	with chloramphenicol	without chloramphenicol			marR	induced	marRp	
Antibiotic stress	with nalidixic acid	without nalidixic acid			marA	not effect	marRp	
Antibiotic stress	with nalidixic acid	without nalidixic acid			marB	not effect	marRp	
Antibiotic stress	with nalidixic acid	without nalidixic acid			marR	not effect	marRp	
Antibiotic stress	with norfloxacin	without norfloxacin			marA	not effect	marRp	
Antibiotic stress	with norfloxacin	without norfloxacin			marB	not effect	marRp	
Antibiotic stress	with norfloxacin	without norfloxacin			marR	not effect	marRp	
Antibiotic stress	with salicylate	without salicylate			emrA	induced	mprAp	
Antibiotic stress	with salicylate	without salicylate			emrB	induced	mprAp	
Antibiotic stress	with salicylate	without salicylate			inaA	induced		
Antibiotic stress	with salicylate	without salicylate			marA	induced	marRp	
Antibiotic stress	with salicylate	without salicylate			marB	induced	marRp	
Antibiotic stress	with salicylate	without salicylate			marR	induced	marRp	
Antibiotic stress	with salicylate	without salicylate			mprA	induced	mprAp	
Antibiotic stress	with tetracycline	without tetracycline			marA	induced	marRp	
Antibiotic stress	with tetracycline	without tetracycline			marB	induced	marRp	
Antibiotic stress	with tetracycline	without tetracycline			marR	induced	marRp	
Antibiotic stress	with tetracycline	without tetracycline			metK	induced		
Antibiotic stress	with tetracycline	without tetracycline			rutR	induced		
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			aceA	induced	aceBp	
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			aceB	induced	aceBp	
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			aceK	induced	aceBp	
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			acrA	induced		
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			aroA	repressed		
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			dcuB	repressed		
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			dinD	induced		
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			emrA	induced	mprAp	
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			emrB	induced	mprAp	
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			gnd	induced		
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			marA	induced	marRp	
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			marB	induced	marRp	
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			marR	induced	marRp	
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			mprA	induced	mprAp	
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			nagB	induced		
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			nagB	induced		
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			nirB	repressed		
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			nrdE	induced	nrdHp	
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			nrdF	induced		
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			nrfA	induced		
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			osmY	induced		
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			pdhR	induced	pdhRp	
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			rhaA	induced	rhaBp	CRP-cAMP
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			rhaB	induced	rhaBp	CRP-cAMP
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			rhaD	induced	rhaBp	CRP-cAMP
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			rhaR	induced		
Carbon Source	 Growth on non-optimal carbon source	Growth on optimal carbon source			rhaS	induced	rhaSp	
