Transcription Factor (TF) identifier assigned by RegulonDB	NAME	Effector Name	Effector Type	TF Conformation	TF conformation type (Active, Inactive)	Interaction type (covalente, allosteric)	Functional Conformation (Apo, Holo)	Evidence that supports the TF- Conformation [Evidence name|Evidence type: S = Strong, W = Weak| Evidence code]	PMID list
ECK120015994	AcrR	Proflavin	negative	AcrR-Proflavin	Inactive	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	17644067, 17950313
ECK120015994	AcrR			AcrR	Active		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	17644067, 17950313
ECK120015994	AcrR	Ethidium	negative	AcrR-Ethidium	Inactive	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	17644067, 17950313
ECK120015994	AcrR	R6G	negative	AcrR-R6G	Inactive	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	17644067, 17950313
ECK120012595	Ada	Methyl	positive	Ada-Methylated	Active	Covalent	Holo	[SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	16452614, 8720133
ECK120012595	Ada			Ada	Active		Apo	[IDA|S|Inferred from direct assay]	7937881
ECK120030264	AlaS	L-alanine	positive	AlaS-L-alanine	Active	Allosteric	Holo	[BPP|S|Binding of purified proteins]	6264314
ECK120030264	AlaS			AlaS	Inactive		Apo	[BPP|S|Binding of purified proteins]	6264314
ECK120015630	AllR	Glyoxylate	negative	AllR-Glyoxylate	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	12460564
ECK120015630	AllR			AllR	Active		Apo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	12460564
ECK120015636	AllS	allantoin	positive	AllS-allantoin	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	12460564
ECK120015636	AllS			AllS	Inactive		Apo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	12460564
ECK120011959	AlsR	D-allose	negative	AlsR-D-allose	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction]	10559180, 9401019
ECK120011959	AlsR			AlsR	Active		Apo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction]	10559180, 9401019
ECK120012316	AraC	L-arabinose	positive	AraC-L-arabinose	Active	Allosteric	Holo	[IDA|S|Inferred from direct assay], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	10995226, 12683999, 1560456, 17173282, 19422057, 2962192, 3041410, 7768852, 8516313, 9103202, 9600836
ECK120012316	AraC	D-fucose	negative	AraC-D-fucose	Inactive	Allosteric	Holo	[IPI|W|Inferred from physical interaction]	12683999, 17173282
ECK120012316	AraC			AraC	Active		Apo	[IDA|S|Inferred from direct assay], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	10995226, 12683999, 1560456, 17173282, 19422057, 2962192, 3041410, 7768852, 8516313, 9103202, 9600836
ECK120011345	ArcA			ArcA	Inactive		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	10851007, 1512197, 15522865, 9286997
ECK120011345	ArcA	Phosphate	positive	ArcA-Phosphorylated	Active	Covalent	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	10851007, 1512197, 15522865, 9286997
ECK120011202	ArgP	Lysine	negative	ArgP-Lysine	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	17504942, 18502871
ECK120011202	ArgP	L-arginine	positive	ArgP-L-arginine	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	17504942
ECK120011202	ArgP			ArgP	Active		Apo	[BPP|S|Binding of purified proteins]	18502871
ECK120011670	ArgR			ArgR	Inactive		Apo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	11580241, 17074904, 3116542
ECK120011670	ArgR	L-arginine	positive	ArgR-L-arginine	Active	Allosteric	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	11580241, 17074904, 3116542
ECK120030724	ArsR	Antimonite	negative	ArsR-antimonite	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	8621591
ECK120030724	ArsR	Arsenite	negative	ArsR-arsenite	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	8621591
ECK120030724	ArsR			ArsR	Active		Apo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	8621591
ECK120013010	AsnC	L-asparagine	negative	AsnC-L-asparagine	Inactive	Allosteric	Holo	[IPI|W|Inferred from physical interaction]	16528101
ECK120013010	AsnC			AsnC	Active		Apo	[IPI|W|Inferred from physical interaction]	16528101
ECK120013014	AtoC	Phosphate	positive	AtoC-phosphorylated	Active	Covalent	Holo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins], [AIFS|W|Automated inference of function from sequence]	16153782, 17537579, 18534200, 21115262
ECK120013014	AtoC			AtoC	Inactive		Apo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins], [AIFS|W|Automated inference of function from sequence]	16153782, 17537579, 18534200, 21115262
ECK120015687	BaeR	Phosphate	positive	BaeR-Phosphorylated	Active	Covalent	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865
ECK120013017	BetI			BetI	Active		Apo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	8626295
ECK120013017	BetI	Choline	negative	BetI-choline	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	8626295
ECK120012646	BirA			BirA	Inactive		Apo	[SM|S|Site mutation], [IPI|W|Inferred from physical interaction]	11353844, 1409631
ECK120012646	BirA	bio-5'-AMP	positive	BirA-bio-5'-AMP	Active	Allosteric	Holo	[SM|S|Site mutation], [IPI|W|Inferred from physical interaction]	11353844, 1409631
ECK120011235	CRP	cAMP	positive	CRP-cAMP	Active	Allosteric	Holo	[IPI|W|Inferred from physical interaction]	16906160, 19359484
ECK120011235	CRP			CRP	Inactive		Apo	[IPI|W|Inferred from physical interaction]	16906160, 19359484
