TU	BindingSite
accBC	ECK120011222
acrAB	ECK120018491
acrR	ECK120018491
micF	ECK120035040
alkA	ECK120012597
ada-alkB	ECK125110266
ada-alkB	ECK120012905
aidB	ECK120012982
adiA	ECK120011222
gadAX	ECK120011222
gadBC	ECK120011222
gltBDF	ECK120011222
agaR	ECK120015699
agaR	ECK120015701
kbaZ-agaVWA	ECK120012521
kbaZ-agaVWA	ECK120012519
kbaZ-agaVWA	ECK120012517
agaS-kbaY-agaBCDI	ECK120012535
agaS-kbaY-agaBCDI	ECK120012533
agaS-kbaY-agaBCDI	ECK120012531
agaS-kbaY-agaBCDI	ECK120012529
agaS-kbaY-agaBCDI	ECK120012527
agaS-kbaY-agaBCDI	ECK120012525
aidB	ECK125134685
alaS	ECK120030267
allA	ECK120015632
allS	ECK120015632
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	ECK120018500
allDCE	ECK120018499
rpiB	ECK120011222
rpiR-alsBACE	ECK120011222
rpiR-alsBACE	ECK120011222
hyaABCDEF	ECK120011222
appCBXA	ECK120011222
araBAD	ECK120015742
araC	ECK120015742
araBAD	ECK120012328
araBAD	ECK120012328
araC	ECK120012328
araC	ECK120012328
araBAD	ECK120012320
araC	ECK120012320
araBAD	ECK120012323
araC	ECK120012323
araBAD	ECK120012603
araC	ECK120012603
araJ	ECK120012335
araJ	ECK120012992
araFGH	ECK120012990
araFGH	ECK120012331
araFGH	ECK120013555
araFGH	ECK120012333
araE	ECK120012915
araE	ECK120012913
xylAB	ECK125108641
xylAB	ECK125108643
fnr	ECK120011222
glpABC	ECK120011222
glpD	ECK120011222
aceBAK	ECK120011222
gadAX	ECK120011222
xylR	ECK120011222
dctA	ECK120011222
appCBXA	ECK120011222
oppABCDF	ECK120011222
gatYZABCD	ECK120011222
fumB	ECK120011222
hemA-prfA-prmC	ECK120011222
sucAB	ECK120011222
sucABCD	ECK120011222
fumA	ECK120011222
fumAC	ECK120011222
fumC	ECK120011222
cydDC	ECK120011222
ackA	ECK120011222
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	ECK120011222
aceEF	ECK120011222
ubiCA	ECK120011222
cydAB	ECK120011222
cydAB	ECK120011222
gadE	ECK120011222
