TU	Gene
C0067	C0067
C0293	C0293
C0299	C0299
C0343-dbpA	C0343,dbpA
C0343-dbpA	C0343,dbpA
C0362	C0362
C0465	C0465
C0614	C0614
C0664	C0664
C0719	C0719
IS128	IS128
aaeR	aaeR
aaeR	aaeR
aaeR	aaeR
aaeR	aaeR
aaeR	aaeR
aaeB	aaeB
aaeB	aaeB
aaeB	aaeB
aaeXAB	aaeX,aaeA,aaeB
aas-lplT	aas,lplT
lplT	lplT
aat	aat
abgABT-ogt	abgA,abgB,abgT,ogt
ogt	ogt
abgR	abgR
abrB	abrB
accA	accA
accBC	accB,accC
accD	accD
aceBAK	aceB,aceA,aceK
aceK	aceK
ackA	ackA
ackA-pta	ackA,pta
pta	pta
acnA	acnA
acnA	acnA
acnA	acnA
acnB	acnB
acnB	acnB
acpH	acpH
acpT	acpT
acrAB	acrA,acrB
acrB	acrB
acrD	acrD
acrD	acrD
acrEF	acrE,acrF
acrR	acrR
acrZ	acrZ
acs-yjcH-actP	acs,yjcH,actP
acs-yjcH-actP	acs,yjcH,actP
actP	actP
ada-alkB	ada,alkB
alkB	alkB
add	add
adeD	adeD
adeD	adeD
adeD	adeD
adeP	adeP
adeQ	adeQ
adeQ	adeQ
adeQ	adeQ
adeQ	adeQ
adhE	adhE
adhE	adhE
adhP	adhP
adiA	adiA
adiC	adiC
adiY	adiY
adk	adk
adrA	adrA
aegA	aegA
aer	aer
aes	aes
agaR	agaR
agaS-kbaY-agaBCDI	agaS,kbaY,agaB,agaC,agaD,agaI
agp	agp
agrA	agrA
agrB	agrB
ahpCF	ahpC,ahpF
ahpCF	ahpC,ahpF
ahpF	ahpF
ahr	ahr
ahr	ahr
ahr	ahr
ahr	ahr
aidB	aidB
ais	ais
ais	ais
ais	ais
alaA	alaA
alaA-yfbR	alaA,yfbR
yfbR	yfbR
yfbR	yfbR
alaC	alaC
alaE	alaE
alaE	alaE
alaS	alaS
alaWX	alaW,alaX
alaWX	alaW,alaX
alaWX	alaW,alaX
alaWX	alaW,alaX
aldA	aldA
aldB	aldB
alkA	alkA
allA	allA
allDCE	allD,allC,allE
allE	allE
allR	allR
allS	allS
alpA	alpA
alr	alr
alr	alr
alsK	alsK
alx	alx
alx	alx
alx	alx
amiA-hemF	amiA,hemF
hemF	hemF
amiC	amiC
amiC	amiC
amn	amn
ampC	ampC
ampDE	ampD,ampE
ampDE	ampD,ampE
ampG	ampG
ampG	ampG
ampG	ampG
ampH	ampH
ampH	ampH
amyA	amyA
anmK	anmK
ansA-pncA	ansA,pncA
ansB	ansB
ansB	ansB
ansP	ansP
ansP	ansP
apbE	apbE
aphA	aphA
appA	appA
appCBXA	appC,appB,appX,appA
appY	appY
appY	appY
apt	apt
aqpZ	aqpZ
aqpZ	aqpZ
araBAD	araB,araA,araD
araC	araC
araE	araE
araFGH	araF,araG,araH
araFGH	araF,araG,araH
araH	araH
araJ	araJ
arcA	arcA
arcA	arcA
arcA	arcA
arcA	arcA
arcA	arcA
arcA	arcA
arcA	arcA
arcB	arcB
arcZ	arcZ
arfA	arfA
argA	argA
argCBH	argC,argB,argH
argD	argD
argE	argE
argE	argE
argF	argF
argG	argG
argI	argI
argO	argO
argP	argP
argR	argR
argR	argR
argS	argS
argT-hisJQMP	argT,hisJ,hisQ,hisM,hisP
hisJQMP	hisJ,hisQ,hisM,hisP
argU	argU
argW	argW
argX-hisR-leuT-proM	argX,hisR,leuT,proM
arnBCADTEF	arnB,arnC,arnA,arnD,arnT,arnE,arnF
aroF-tyrA	aroF,tyrA
aroG	aroG
aroH	aroH
aroH	aroH
aroKB-damX-dam-rpe-gph-trpS	aroK,aroB,damX,dam,rpe,gph,trpS
aroKB-damX-dam-rpe-gph-trpS	aroK,aroB,damX,dam,rpe,gph,trpS
dam-rpe-gph-trpS	dam,rpe,gph,trpS
dam-rpe-gph-trpS	dam,rpe,gph,trpS
damX-dam-rpe-gph-trpS	damX,dam,rpe,gph,trpS
rpe-gph-trpS	rpe,gph,trpS
trpS	trpS
aroL-yaiA-aroM	aroL,yaiA,aroM
yaiA-aroM	yaiA,aroM
aroP	aroP
aroP	aroP
arpA	arpA
arpA	arpA
arpA	arpA
arpB_1B_2	arpB_1,arpB_2
arrS	arrS
