NAME	left	right	DNA strand where the operon is coded	Evidence that support the existence of the operon's Tus
C0067	238462	238586	forward	[ICWHO|W|Inferred computationally without human oversight]
C0293	1195937	1196009	forward	[ICWHO|W|Inferred computationally without human oversight]
C0299	1229852	1229930	forward	
C0343-dbpA	1407387	1408908	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
C0362	1550025	1550410	forward	[IHBCE|W|Inferred by a human based on computational evidence]
C0465	1970763	1970840	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
C0614	2651474	2651560	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
C0664	2833077	2833189	forward	[IHBCE|W|Inferred by a human based on computational evidence]
C0719	3119380	3119601	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
IS128	2651537	2651745	forward	[ICWHO|W|Inferred computationally without human oversight]
aaeR	3387542	3388471	forward	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
aaeXAB	3384243	3387359	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
aas-lplT	2970691	2974036	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
aat	925951	926655	reverse	[ICWHO|W|Inferred computationally without human oversight]
abgABT-ogt	1397745	1402589	reverse	[ICWHO|W|Inferred computationally without human oversight]
abgR	1402765	1403673	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
abrB	745946	746992	reverse	[ICWHO|W|Inferred computationally without human oversight]
accA	208621	209580	forward	[LTED|S|Length of transcript experimentally determined]
accBC	3403458	3405288	forward	[BTEI|W|Boundaries of transcription experimentally identified]
accD	2431034	2431948	reverse	[LTED|S|Length of transcript experimentally determined]
aceBAK	4213501	4218355	forward	"[BTEI|W|Boundaries of transcription experimentally identified]; [PM|S|Polar mutation]"
ackA-pta	2411492	2414913	forward	[LTED|S|Length of transcript experimentally determined]
acnA	1333855	1336530	forward	"[LTED|S|Length of transcript experimentally determined]; [IC|W|Inferred by curator]"
acnB	131615	134212	forward	"[LTED|S|Length of transcript experimentally determined]; [IC|W|Inferred by curator]"
acpH	423561	424142	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
acpT	3610992	3611579	forward	[ICWHO|W|Inferred computationally without human oversight]
acrAB	480478	484843	reverse	"[LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation],[IEP|W|Inferred from expression pattern]; [IC|W|Inferred by curator]"
acrD	2585617	2588730	forward	
acrEF	3411886	3416159	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
acrR	484985	485632	forward	
acrZ	793996	794145	forward	[ICWHO|W|Inferred computationally without human oversight]
acs-yjcH-actP	4281276	4285394	reverse	[LTED|S|Length of transcript experimentally determined]
ada-alkB	2306713	2308427	reverse	"[PM|S|Polar mutation]; [BTEI|W|Boundaries of transcription experimentally identified]"
add	1700257	1701258	forward	[ICWHO|W|Inferred computationally without human oversight]
adeD	3841987	3843753	forward	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
adeP	3893295	3894632	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
adeQ	3840478	3841812	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
adhE	1294669	1297344	reverse	[TASES|W|Traceable author statement to experimental support]
adhP	1550852	1551862	reverse	[ICWHO|W|Inferred computationally without human oversight]
adiA	4336277	4338544	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
adiC	4333717	4335054	reverse	[ICWHO|W|Inferred computationally without human oversight]
adiY	4335191	4335952	reverse	[ICWHO|W|Inferred computationally without human oversight]
adk	496399	497043	forward	[ICWHO|W|Inferred computationally without human oversight]
adrA	402927	404042	forward	[BTEI|W|Boundaries of transcription experimentally identified]
aegA	2581568	2583547	reverse	[ICWHO|W|Inferred computationally without human oversight]
aer	3215578	3217098	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
