Product Type	NAME	Gene
-	thr operon leader peptide	thrL
-	ThrA	thrA
-	ThrB	thrB
-	threonine synthase	thrC
-	predicted protein	yaaX
-	protein that reduces intracellular iron levels under peroxide stress	yaaA
-	inner membrane protein YaaJ	yaaJ
-	transaldolase B	talB
-	MogA	mog
-	acetate / succinate:H<sup>+</sup> symporter	satP
-	conserved protein	yaaW
-	predicted DNA-binding transcriptional regulator	htgA
-	predicted protein	yaaI
-	chaperone protein DnaK	dnaK
small RNA	Tpke11	tpke11
-	chaperone protein DnaJ	dnaJ
-	IS186/IS421 transposase	insL-1
-		Phantom Gene
-	"HokC, Gef toxin; interferes with membrane function when in excess"	hokC
-	regulatory peptide whose translation enables hokC (gef) expression	mokC
small RNA	SokC	sokC
-	NhaA	nhaA
-	NhaR transcriptional activator	nhaR
-	InsAB' transposase	insAB-1
-	IS1 protein InsB	insB-1
-	IS1 protein InsA	insA-1
-	30S ribosomal subunit protein S20	rpsT
-	predicted protein	yaaY
-	bifunctional riboflavin kinase / FMN adenylyltransferase	ribF
-	isoleucyl-tRNA synthetase	ileS
-	prolipoprotein signal peptidase II	lspA
-	peptidyl-prolyl <i>cis-trans</i> isomerase	fkpB
-	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	ispH
-	ribonucleoside hydrolase 3	rihC
-	4-hydroxy-tetrahydrodipicolinate reductase	dapB
-	CarA	carA
-	CarB	carB
-	CaiF	caiF
-	predicted acyl transferase	caiE
-	crotonobetainyl-CoA hydratase	caiD
-	carnitine-CoA ligase	caiC
-	CaiB monomer	caiB
-	crotonobetainyl-CoA reductase	caiA
-		caiT
-	probable flavoprotein subunit required for anaerobic carnitine metabolism	fixA
-	probable flavoprotein subunit required for anaerobic carnitine metabolism	fixB
-	flavoprotein (electron transport), possibly involved in anaerobic carnitine metabolism	fixC
-	putative ferredoxin possibly involved in anaerobic carnitine metabolism	fixX
-	YaaU	yaaU
-	regulator of KefC-mediated potassium transport and quinone oxidoreductase	kefF
-	KefC	kefC
-	dihydrofolate reductase	folA
-	diadenosine tetraphosphatase	apaH
-	hypothetical protein	apaG
-	16S rRNA m<sup>6</sup><sub>2</sub>A1518,m<sup>6</sup><sub>2</sub>A1519 dimethyltransferase	rsmA
-	PdxA	pdxA
-	peptidyl-prolyl <i>cis-trans</i> isomerase (PPIase)	surA
-	outer membrane lipopolysaccharide transport and assembly complex - LptD subunit	lptD
-	chaperone with DnaK	djlA
-	predicted protein	yabP
-	predicted protein	yabQ
-	23S rRNA and tRNA pseudouridine synthase	rluA
-	RNA Polymerase (RNAP)-binding ATPase and RNAP recycling factor	hepA
-	DNA polymerase II	polB
-	L-ribulose 5-phosphate 4-epimerase monomer	araD
-	L-arabinose isomerase monomer	araA
-	L-ribulokinase monomer	araB
-	AraC	araC
-	conserved inner membrane protein	yabI
-	thiamin ABC transporter - ATP binding subunit	thiQ
-	thiamin ABC transporter - membrane subunit	thiP
-	thiamin ABC transporter - periplasmic binding protein	tbpA
small RNA	SroA	sroA
-	SgrR DNA-binding transcriptional dual regulator	sgrR
small RNA	SgrS	sgrS
-	SgrT, regulator of PtsG activity	sgrT
-	sugar / lactose efflux transporter SetA	setA
-	LeuD	leuD
-	LeuC	leuC
-	LeuB	leuB
-	2-isopropylmalate synthase	leuA
-	leu operon leader peptide	leuL
-	LeuO DNA-binding transcriptional dual regulator	leuO
-	IlvI	ilvI
-	IlvH	ilvH
-		fruL
-	Cra DNA-binding transcriptional dual regulator	cra
-	conserved protein	mraZ
-	16S rRNA m<sup>4</sup>C1402 methyltransferase	rsmH
-	essential cell division protein FtsL	ftsL
-	"essential cell division protein FtsI; penicillin-binding protein 3"	ftsI
-	UDP-<i>N</i>-acetylmuramoylalanyl-D-glutamate 2,6-diaminopimelate ligase	murE
-	D-alanyl-D-alanine-adding enzyme	murF
-	phospho-N-acetylmuramoyl-pentapeptide transferase	mraY
-	UDP-<i>N</i>-acetylmuramoyl-L-alanine:D-glutamate ligase	murD
-	"essential cell division protein FtsW; lipid II flippase"	ftsW
-	N-acetylglucosaminyl transferase	murG
-	UDP-<i>N</i>-acetylmuramate-alanine ligase	murC
-	D-alanine-D-alanine ligase B	ddlB
-	essential cell division protein FtsQ	ftsQ
-	essential cell division protein FtsA	ftsA
-	essential cell division protein FtsZ	ftsZ
-	UDP-3-O-acyl-N-acetylglucosamine deacetylase	lpxC
-	secretion monitor that regulates SecA translation (General Secretory Pathway)	secM
-	SecA	secA
-	8-oxo-dGTP diphosphatase	mutT
-		b0100
-	DNA gyrase inhibitor YacG	yacG
-	cell division factor ZapD	zapD
-	dephospho-CoA kinase	coaE
-	GuaC	guaC
-		b0105
-	protein transport protein HofC	hofC
-	protein involved in plasmid replication	hofB
-	prepilin peptidase dependent protein	ppdD
-	quinolinate phosphoribosyltransferase (decarboxylating) monomer	nadC
-	N-acetyl-anhydromuramyl-L-alanine-amidase	ampD
-	predicted inner membrane protein	ampE
-	aromatic amino acid:H<sup>+</sup> symporter AroP	aroP
-	PdhR DNA-binding transcriptional dual regulator	pdhR
small RNA	Tp2	tp2
-	subunit of E1p component of pyruvate dehydrogenase complex	aceE
-	AceF	aceF
-	E3 monomer	lpd
-	putative membrane protein	yacH
-	bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase	acnB
-	conserved protein	yacL
-	adenosylmethionine decarboxylase, proenzyme	speD
-	SpeE	speE
-	predicted protein	yacC
-	multicopper oxidase with role in copper homeostasis	cueO
-	quinoprotein glucose dehydrogenase	gcd
-	hypoxanthine-guanine phosphoribosyltransferase	hpt
-	carbonic anhydrase 2 monomer	can
-	YadG	yadG
-	YadH	yadH
-	AgaX	yadI
-	predicted polysaccharide deacetylase lipoprotein	yadE
-	"PanD proenzyme, &pi; protein"	panD
-	predicted transposase	yadD
-	pantothenate synthetase monomer	panC
-	3-methyl-2-oxobutanoate hydroxymethyltransferase monomer	panB
-	predicted fimbrial-like adhesin protein	yadC
-	predicted fimbrial-like adhesin protein	yadK
-	hypothetical protein	yadL
-	predicted fimbrial-like adhesin protein	yadM
-	putative outer membrane usher protein	htrE
-	probable pilin chaperone similar to PapD	yadV
-	predicted fimbrial-like adhesin protein	yadN
-	6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase	folK
-	poly(A) polymerase I	pcnB
-	glutamyl-Q tRNA<sup>Asp</sup> synthetase	gluQ
-	RNA polymerase-binding transcription factor DksA	dksA
-	predicted DNA-binding transcriptional regulator of maltose metabolism	sfsA
-	2'-5' RNA ligase	ligT
-	predicted ATP-dependent helicase	hrpB
-	MrcB	mrcB
-	ferrichrome / phage / antibiotic outer membrane porin FhuA	fhuA
-	iron (III) hydroxamate ABC transporter - ATP binding subunit	fhuC
-	iron (III) hydroxamate ABC transporter - periplasmic binding protein	fhuD
-	iron (III) hydroxamate ABC transporter - membrane subunit	fhuB
-	glutamate-1-semialdehyde aminotransferase	hemL
-		clcA
-	essential respiratory protein A	erpA
-	conserved inner membrane protein	yadS
-	vitamin B<sub>12</sub> ABC transporter - periplasmic binding protein	btuF
-	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase monomer	mtn
-	deoxyguanosine triphosphate triphosphohydrolase	dgt
-	DegP	degP
-	CdaR DNA-binding transcriptional activator	cdaR
-	conserved protein	yaeH
-	phosphodiesterase	yaeI
-		b0165
-	tetrahydrodipicolinate succinylase	dapD
-	[protein-PII] uridylyltransferase	glnD
-	methionine aminopeptidase	map
small RNA	Tff	tff
-	30S ribosomal subunit protein S2	rpsB
-	protein chain elongation factor EF-Ts	tsf
-	UMP kinase	pyrH
-	ribosome recycling factor	frr
-	Dxr	dxr
-	subunit of undecaprenyl diphosphate synthase	ispU
-	CDP-diglyceride synthetase	cdsA
-	RseP zinc protease, signal peptide peptidase	rseP
-	Outer Membrane Protein Assembly Complex - BamA subunit	bamA
