Identifier	Gene	Blattner number (bnumber) of the gene	Gene left end position in the genome	Gene right end position in the genome	DNA strand where the gene is coded	NAME	Evidence that supports the existence of the gene	PMIDs list
ECK120002604	tpke11		14080	14168	forward	Tpke11	[IDA|S|Inferred from direct assay]	11553332,
ECK120002653	sokC		16952	17006	forward	SokC	[IDA|S|Inferred from direct assay],[HIFS|W|Human inference of function from sequence]	10361310,15718303,
ECK120002641	sroA		75516	75608	reverse	SroA	[IDA|S|Inferred from direct assay]	14602901,
ECK120002667	sgrS		77367	77593	forward	SgrS	[IDA|S|Inferred from direct assay],[IE|W|Inferred from experiment],[IMP|W|Inferred from mutant phenotype]	15522088,15650111,23873911,
ECK120002605	tp2		122697	122857	reverse	Tp2	[IDA|S|Inferred from direct assay]	11553332,
ECK120002606	tff		189712	189847	forward	Tff	[IDA|S|Inferred from direct assay],[ICA|W|Inferred by computational analysis]	11553332,
ECK120002607	C0067		238462	238586	forward	C0067	[IDA|S|Inferred from direct assay]	12202758,
ECK125135291	eyeA		271804	271878	forward	EyeA		
ECK120002574	sraA		457952	458008	reverse	SraA	[IDA|S|Inferred from direct assay]	11448770,11553332,
ECK120002469	ffs	b0455	475672	475785	forward	Ffs	[IDA|S|Inferred from direct assay]	11904184,12702815,1331806,7525539,8073757,8772186,95791,
ECK120002642	micM	b4585	506428	506511	forward	MicM	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]	14602901,19400782,19426207,
ECK125122009	ipeX		573588	573754	reverse	IpeX	[IE|W|Inferred from experiment]	16385048,
ECK125121984	sokE		606957	607015	reverse	SokE	[IDA|S|Inferred from direct assay]	10760155,15718303,
ECK120002643	sroC		685904	686066	reverse	SroC	[IDA|S|Inferred from direct assay]	14602901,
ECK120002591	rybB	b4417	887200	887280	reverse	RybB	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype],[IEP|W|Inferred from expression pattern]	11445539,14602901,17007876,17416652,
ECK120002575	sraB		1145812	1145980	forward	SraB	[IDA|S|Inferred from direct assay]	11448770,12202758,
ECK120002608	C0293		1195937	1196009	forward	C0293	[IDA|S|Inferred from direct assay]	12202758,12654996,
ECK120002609	C0299		1229852	1229930	forward	C0299	[IDA|S|Inferred from direct assay]	12202758,12654996,
ECK120002656	rdlA	b4420	1268546	1268612	forward	RdlA	[HIFS|W|Human inference of function from sequence]	12123448,15718303,
ECK120002658	rdlB	b4422	1269081	1269146	forward	RdlB	[HIFS|W|Human inference of function from sequence]	12123448,15718303,
ECK120002660	rdlC	b4424	1269616	1269683	forward	RdlC	[HIFS|W|Human inference of function from sequence]	12123448,15718303,
ECK120002661	rttR		1286289	1286459	reverse	RtT	[IDA|S|Inferred from direct assay],[IHBCE|W|Inferred by a human based on computational evidence]	1840671,
ECK125135293			1298697	1298951	forward			
ECK120002610	mcaS		1403683	1403775	reverse	IsrA	[IDA|S|Inferred from direct assay]	12069726,22250746,23666921,
ECK125095415	fnrS		1407153	1407271	forward	FnrS	[IDA|S|Inferred from direct assay]	20075074,
ECK120002611	C0343		1407387	1407461	forward	C0343	[IDA|S|Inferred from direct assay]	12202758,
ECK120002612	micC		1435145	1435253	forward	MicC	[IDA|S|Inferred from direct assay],[IGI|W|Inferred from genetic interaction],[IEP|W|Inferred from expression pattern]	12069726,15466019,17264113,
ECK120030076	rydC	b4597	1489467	1489530	reverse	RydC	[IMP|W|Inferred from mutant phenotype]	14622403,15618228,
ECK120002663	sokB		1490143	1490198	forward	SokB	[IDA|S|Inferred from direct assay],[HIFS|W|Human inference of function from sequence]	10361310,15718303,
ECK120002613	C0362		1550025	1550410	forward	C0362	[IDA|S|Inferred from direct assay]	12202758,
ECK125095180	mgrR	b4698	1620841	1620938	reverse	MgrR	[IDA|S|Inferred from direct assay],[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype]	19889087,
ECK120002557	dicF	b1574	1647406	1647458	forward	DicF	[IDA|S|Inferred from direct assay],[IGI|W|Inferred from genetic interaction]	1552861,
ECK125135295			1668973	1669160	reverse	YnfM3'	[IDA|S|Inferred from direct assay],[IHBCE|W|Inferred by a human based on computational evidence],[IE|W|Inferred from experiment]	21665928,
ECK120002588	rydB		1762737	1762804	reverse	RydB	[IDA|S|Inferred from direct assay]	11445539,11553332,12069726,
ECK120002576	rprA	b4431	1768396	1768500	forward	RprA	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype],[IEP|W|Inferred from expression pattern]	11251852,11448770,12410838,17264113,18826256,20455949,
ECK125121999	spy3'		1823084	1823131	reverse	Spy3'	[IDA|S|Inferred from direct assay]	15718303,
ECK120002644	sroD		1886041	1886126	reverse	SroD	[IDA|S|Inferred from direct assay]	14602901,
ECK120002577	ryeA		1921090	1921338	forward	SraC	[IDA|S|Inferred from direct assay]	11445539,11448770,12069726,
ECK120002594	sdsR		1921128	1921231	reverse	RyeB	[IDA|S|Inferred from direct assay]	11553332,14602901,18467773,
ECK125122010	ryeF		1956157	1956543	reverse	RyeF	[IE|W|Inferred from experiment]	14622403,
ECK120002614	C0465		1970763	1970840	forward	C0465	[IDA|S|Inferred from direct assay]	12202758,
ECK120002615	isrB	b4434	1985863	1986022	reverse	IsrB	[IDA|S|Inferred from direct assay]	12069726,12654996,
ECK125135297			1994930	1995121	forward	YecC3'	[IDA|S|Inferred from direct assay],[IHBCE|W|Inferred by a human based on computational evidence],[IE|W|Inferred from experiment]	21665928,
ECK120003633	dsrA	b1954	2023251	2023337	reverse	DsrA	[IDA|S|Inferred from direct assay],[IE|W|Inferred from experiment]	12069726,7534408,
ECK120029424	rseX	b4603	2031673	2031763	forward	RseX	[IDA|S|Inferred from direct assay]	16513633,
ECK120002616	isrC		2069339	2069542	forward	IsrC	[IDA|S|Inferred from direct assay]	12069726,
ECK120002595	sibA	b4436	2151335	2151478	forward	SibA	[IDA|S|Inferred from direct assay]	11445539,18710431,
ECK120002596	sibB		2151670	2151805	forward	SibB	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]	11445539,18710431,
ECK120002589	cyaR	b4438	2165138	2165224	forward	CyaR	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]	11445539,18619465,18978044,20627350,
ECK125135299			2276280	2276520	reverse	YejG5'	[IDA|S|Inferred from direct assay],[IHBCE|W|Inferred by a human based on computational evidence],[IE|W|Inferred from experiment]	21665928,
ECK120002505	micF	b4439	2311106	2311198	forward	MicF	[IDA|S|Inferred from direct assay],[IE|W|Inferred from experiment]	12069726,17009960,17264113,2193928,2436145,2439487,2478539,9478198,
ECK120002617	tpke70		2494216	2494651	reverse	Tpke70	[IDA|S|Inferred from direct assay]	11553332,
ECK125121989	zipA5'		2529253	2529483	reverse	ZipA5'	[IDA|S|Inferred from direct assay]	15718303,
ECK120002645	sroE		2638617	2638708	reverse	SroE	[IDA|S|Inferred from direct assay]	14602901,
